License_Number,License_Type,Business_Owner,Business_Contact_Information,Business_Structure,Premise_Address,Status,Issue_Date,Expiration_Date,Activities,Adult-Use/Medicinal,lat,long
C10-0000501-LIC,Cannabis - Retailer License,Caleb Counts,MSTMA INC.  : Cookies SF : Email- SOPHIA@COOKIESMGMT.COM : Phone- 4157695001,Corporation,"5234 MISSION ST SAN FRANCISCO, CA 941123732",Active,7/24/2019,7/23/2020,N/A for this license type,BOTH,37.7153979836569,-122.442185032387
C10-0000452-LIC,Cannabis - Retailer License,Joseph Pearson,"Bay Pacific Networks, Inc  : SPARC : Email- Compliance@sparc.co : Phone- 7075846923 : Website- sparc.co",Corporation,"1256 Mission ST San Francisco, CA 94103",Active,7/18/2019,7/17/2020,N/A for this license type,BOTH,37.7769659961467,-122.414233983687
C10-0000453-LIC,Cannabis - Retailer License,Joseph Pearson,"MIPARC, Inc  : Farm Direct : Email- epearsonsf@gmail.com : Phone- 7075846923 : Website- 6010 Commerce Blvd, STE 152",Corporation,"473 Haight ST San Francisco, CA 94117",Active,7/18/2019,7/17/2020,N/A for this license type,BOTH,37.7719969943967,-122.429901018008
C10-0000427-LIC,Cannabis - Retailer License,Brendan Hallinan,"FMSF, INC.  : Moe Greens : Email- brendan@hallinan-law.com : Phone- 4157860139",Corporation,"1276 Market ST San Francisco, CA 94102",Active,7/16/2019,7/15/2020,N/A for this license type,BOTH,37.7781149874339,-122.416066016264
C10-0000437-LIC,Cannabis - Retailer License,Khader ElShawa,"SHAMBALA HEALING CENTER, INC. : Email- alshawa0712@gmail.com : Phone- 4155098664",Corporation,"2441 MISSION ST SAN FRANCISCO, CA 941102414",Active,7/16/2019,7/15/2020,N/A for this license type,BOTH,37.7579389921194,-122.418630962455
C10-0000387-LIC,Cannabis - Retailer License,Clayton Kopp,COMMUNITY ROOTS UNITED  : Grass Roots : Email- chris.schulman@gmail.com : Phone- 4158270650 : Website- www.grassrootssf.com,Corporation,"1077 POST ST SAN FRANCISCO, CA 94109",Active,7/9/2019,7/8/2020,N/A for this license type,BOTH,37.7866390057777,-122.419415005678
C10-0000358-LIC,Cannabis - Retailer License,Wyatt Lin,710 SF INC.  : Pure 710SF : Email- 710sfinc@gmail.com : Phone- 4156545275 : Website- Pure710sf.com,Corporation,"49 KEARNY ST SAN FRANCISCO, CA 94108",Active,7/3/2019,7/2/2020,N/A for this license type,BOTH,37.7885750158637,-122.403844027968
C10-0000308-LIC,Cannabis - Retailer License,Heidi Hanley,"Releaf Herbal Cooperative, Inc.  : Releaf Herbal Cooperative : Email- heidihanley@yahoo.com : Phone- 4157161027 : Website- www.releafherbal.com",Limited Liability Company,"1284 MISSION ST SAN FRANCISCO, CA 94103",Active,6/26/2019,6/25/2020,N/A for this license type,BOTH,37.7765549895244,-122.414687025554
C10-0000281-LIC,Cannabis - Retailer License,Abdelkader Chenbod,KETAMA COOPERATIVE : Email- ketamasf@gmail.com : Phone- 4158612451,Corporation,"14 VALENCIA ST SAN FRANCISCO, CA 941031102",Active,6/25/2019,6/24/2020,N/A for this license type,BOTH,37.7718770074527,-122.422870026167
C10-0000282-LIC,Cannabis - Retailer License,Tara McKnight,"CSBB, INC.  : 2ONE2 California : Email- ops@2one2californiastreet.com : Phone- 4153730555 : Website- 212 California Street",Corporation,"212 CALIFORNIA ST SAN FRANCISCO, CA 941114405",Active,6/25/2019,6/24/2020,N/A for this license type,BOTH,37.7936010145553,-122.399169021472
C10-0000265-LIC,Cannabis - Retailer License,Mikhail Mekk,"MISSION ORGANIC CENTER, INC.  : MISSION ORGANIC CENTER : Email- mikemekk@gmail.com : Phone- 3102108791 : Website- www.missionorganiccenter.com",Corporation,"5258 MISSION ST SAN FRANCISCO, CA 94112",Active,6/21/2019,6/20/2020,N/A for this license type,BOTH,37.7151430061623,-122.442372032647
C10-0000202-LIC,Cannabis - Retailer License,Martin Higgins,"HARVEST ON GEARY, INC. : Email- exec@harvestshop.com : Phone- 4156408250 : Website- www.harvestshop.com",Corporation,"4811 GEARY BLVD SAN FRANCISCO, CA 94118",Active,6/14/2019,6/13/2020,N/A for this license type,BOTH,37.7804060130289,-122.471132018823
C10-0000205-LIC,Cannabis - Retailer License,Martin Higgins,"GOOD LIVING MGMT II, INC.  : Harvest off Mission : Email- exec@harvestshop.com : Phone- 4156408250 : Website- www.harvestshop.com",Corporation,"33 29TH ST SAN FRANCISCO, CA 94110",Active,6/14/2019,6/13/2020,N/A for this license type,BOTH,37.743828016214,-122.421629001583
C10-0000200-LIC,Cannabis - Retailer License,Kevin Reed,"BAY AREA GREEN CROSS DISPENSARY, INC.  : The Green Cross : Email- kevinreed@thegreencross.org : Phone- (415) 648-4420 : Website- thegreencross.org",Corporation,"4218 MISSION ST SAN FRANCISCO, CA 94112",Active,6/13/2019,6/12/2020,N/A for this license type,BOTH,37.729758991734,-122.430622029319
C10-0000152-LIC,Cannabis - Retailer License,Victor Nguyen,"ELEVATED SYSTEMS, INC.  : Elevated San Francisco : Email- elevatedsystemsinc@gmail.com : Phone- 4158255123 : Website- www.elevatedsf.com",Corporation,"2442 BAYSHORE BLVD SAN FRANCISCO, CA 94134",Active,6/10/2019,6/9/2020,N/A for this license type,BOTH,37.7107880207295,-122.404362029584
C10-0000158-LIC,Cannabis - Retailer License,Tariq Alazraie: Tariq Alazraie,BAY AREA SAFE ALTERNATIVES COLLECTIVE INC  : Basa Inc : Email- Tariq@trybasa.com : Phone- 4157972286 : Website- www.trybasa.com,Corporation,"1326 Grove ST San Francisco, CA 94117",Active,6/10/2019,6/9/2020,N/A for this license type,BOTH,37.7760859801323,-122.43852297889
C10-0000127-LIC,Cannabis - Retailer License,Jesse Henry,"BCSF, INC.  : Barbary Coast : Email- jesse@barbarycoastsf.org : Phone- 4157930831 : Website- www.barbarycoastsf.org",Corporation,"952 MISSION ST SAN FRANCISCO, CA 941032911",Active,6/5/2019,6/4/2020,N/A for this license type,BOTH,37.7820279951124,-122.407830964032
C10-0000133-LIC,Cannabis - Retailer License,gus murad,PURPLE STAR MD COLLECTIVE  : Purple Star MD : Email- sfpurplestar@gmail.com : Phone- 4158261220,Corporation,"2520 Mission ST San Francisco, CA 94110",Active,6/5/2019,6/4/2020,N/A for this license type,BOTH,37.7566159925222,-122.419274022067
C10-0000053-LIC,Cannabis - Retailer License,Brian Mitchell: Brian Mitchell,BCOK INC  : La Corona Wellness : Email- Kasia@northstar-equities.com : Phone- 7088332088 : Website- lacoronawellness.com,Corporation,"3326 mission ST san francisco, CA 94110",Active,5/14/2019,5/13/2020,N/A for this license type,BOTH,37.7435810015274,-122.42152799965
C10-0000043-LIC,Cannabis - Retailer License,Stephen Rechif,JESSIE STREET COLLECTIVE LLC  : Bloom Room : Email- stephen@bloomroomsf.com : Phone- 4155437666 : Website- http://www.bloomroomsf.com,Limited Liability Company,"471 JESSIE ST SAN FRANCISCO, CA 94103",Active,5/9/2019,5/8/2020,N/A for this license type,BOTH,37.7819419967858,-122.408288029213
C10-0000035-LIC,Cannabis - Retailer License,Martin Olive,"VRC LMT, INC  : Vapor Room : Email- martin@vaporroom.com : Phone- 4156262100 : Website- www.vaporroom.com",Corporation,"79 9TH ST SAN FRANCISCO, CA 941031401",Active,5/6/2019,5/5/2020,N/A for this license type,BOTH,37.7766600147712,-122.414841001115
C10-0000016-LIC,Cannabis - Retailer License,Arthur Vugelman: Arthur Vugelman,MISSION HERBAL CARE INC  : THE COOKIE COMPANY : Email- arthurvugelman@yahoo.com : Phone- 3233099090 : Website- www.cookieco415.com,Corporation,"3139 MISSION ST SAN FRANCISCO, CA 94110",Active,4/9/2019,4/8/2020,N/A for this license type,BOTH,37.7469980100854,-122.41865300686
C10-0000005-LIC,Cannabis - Retailer License,Robert Watson: Robert Watson,"DPC SF, LLC  : Dutchman's Flat : Email- rw@dutchmansflat.com : Phone- 4152036277",Limited Liability Company,"2544 3RD ST SAN FRANCISCO, CA 94122",Active,11/14/2018,11/14/2019,N/A for this license type,BOTH,37.757323006055,-122.388555017481
